1712901,Nguyễn Văn A,Công nghệ thông tin,2017,nvA@gmail.com,14/02/1999,Images/nva.jpg,Tôi là một người rất ưu nhìn,Ẩm thực: Bánh ngọt; Âm nhạc: ROCK.
1712902,Nguyễn Thị B,Công nghệ thông tin,2017,ntB@gmail.com,20/10/1999,Images/ntb.jpg,Tôi là một người rất dễ thương,"Âm nhạc: POP, KPOP."
1712903,Lê Văn C,Công nghệ thông tin,2017,lvC@gmail.com,03/01/1999,Images/lvc.jpg,Tôi là một người rất cao ráo,Không có.
1712904,Trần Văn D,Công nghệ thông tin,2017,tvD@gmail.com,19/04/1999,Images/tvd.jpg,Tôi là một người rất xinh đẹp,"Giải trí: Game, phim ảnh; Âm nhạc: VPOP."
1712905,Ngô Hữu E,Công nghệ thông tin,2017,nhE@gmail.com,20/04/1999,Images/nhe.jpg,Tôi là một người rất vui tính,Không có.
1712906,Trần Văn F,Công nghệ thông tin,2017,tvF@gmail.com,04/05/1999,Images/tvf.jpg,Tôi là một người rất hiền lành,"Ẩm thực: Bánh ngọt; Phim ảnh: Hành động, tình cảm."
1712907,Nguyễn Hoàng G,Công nghệ thông tin,2017,nhG@gmail.com,03/06/1999,Images/nhg.jpg,Tôi là một người múp múp,"Âm nhạc: VPOP, POP; Ẩm thực: Bánh tráng trộn."
1712908,Lê Việt H,Công nghệ thông tin,2017,lvH@gmail.com,19/12/1998,Images/lvh.jpg,Tôi là một người gầy nhom,"Âm nhạc: EDM, ROCK; Giải trí: Phim ảnh."
1712909,Bùi Văn J,Công nghệ thông tin,2017,bvJ@gmail.com,20/01/1999,Images/bvj.jpg,Tôi là một người rất thông minh,Không có.
1712910,Phan Mộng Huyền K,Công nghệ thông tin,2017,pmhK@gmail.com,28/02/1999,Images/pmhk.jpg,Tôi là một người rất có tố chất,Không có.
